score,nscore,pscore,obscore,synset,text
1,0.65,0.216666667,0.133333333, idle.s.07 recovery.n.03 very_well.r.02,PaulReverePress dougmyers2112 no no we are having a jobless recovery everything is fine 
1,0.375,0.375,0.25, love.v.01 neglect.v.04 thanks.n.02,I just love being ignored!  #thanks
1,0.409836066,0.409836066,0.180327869, ohio.n.01 belly_laugh.n.02 proud.a.01 accomplishment.n.01,"imokman netraKL oh wow, what a proud achievement! "
1,0,0,1, people.n.03 snap.v.06 hour_angle.n.02 hour_angle.n.02 hour_angle.n.02,Some people crack me up ha.    Ha.   Ha!!  atitsbest #whatajoke
1,0,0.649350649,0.350649351, tell.v.03 wholly.r.01 world.n.06 yang.n.01,Tell the whole world yang awak tu kena ngurat. 
1,0.164383562,0.328767123,0.506849315, nice.n.01 another.s.01 very_well.r.02 working.s.03 groove.n.01,Nice #WorldCup app #Uverse another fine working channel from Uverse 
1,0,0.482758621,0.517241379, fast.s.10 tug.v.02 rock_'n'_roll.n.01 star_topology.n.01,If this is the fastest drive through then I am a rock star. 
1,0.129449838,0.71197411,0.158576052, love.v.01 original.n.02 insult.n.02 very.r.01 sting.v.02 trench.n.02 tactile_property.n.01 any.s.01,I love her original insults. They really sting deep down in the feels. Whatever shall I do? 
1,0.254545455,0.690909091,0.054545455, tired.a.01 sleep_together.v.01 awake.a.01 perceive.v.01 supporter.n.01 sleep_together.v.01 amazing.s.02,"Tired as fuck. But I'm awake. If you comprehend, you my friend are fucking awesome. "
1,0,0.421875,0.578125, must.n.01 nice.n.01 part.n.11 time.v.05 parent.n.01,must be nice being a part time parent. 
1,0.25,0.25,0.5, nice.n.01 know.v.04 very.r.01 tactile_property.n.01,Nice to know how you really feel 
1,0,0,1, textbook.n.01 binding.n.05 tho.n.01,That text back tho&gt;&gt;&gt;&gt; 
1,0,0.576923077,0.423076923, surely.r.01 role.n.04 turn_back.v.05,im sure israelies would do the same if the roles were reversed.  #BringBackOurBoys
