score,text
1,PaulReverePress dougmyers2112 no no we are having a jobless recovery everything is fine 
1,I just love being ignored!  #thanks
1,"imokman netraKL oh wow, what a proud achievement! "
1,Some people crack me up ha.    Ha.   Ha!!  atitsbest #whatajoke
1,Tell the whole world yang awak tu kena ngurat. 
1,Nice #WorldCup app #Uverse another fine working channel from Uverse 
1,If this is the fastest drive through then I am a rock star. 
1,I love her original insults. They really sting deep down in the feels. Whatever shall I do? 
1,"Tired as fuck. But I'm awake. If you comprehend, you my friend are fucking awesome. "
1,must be nice being a part time parent. 
1,Brand0nKuhl 
1,ThtOneGirlEm o this is awk  #noh8
1,Nice to know how you really feel 
1,That text back tho&gt;&gt;&gt;&gt; 
1,TomahawkChop81 
1,im sure israelies would do the same if the roles were reversed.  #BringBackOurBoys
1,Matt_Striker_ Ha! Yay! I'm special! - This is my duck face. 
1,Never in my entire life have I heard more bass drops evening #readingsummerball2014 
1,#DJoriginality 
1,Dont you just love when you text someone and they don't reply but they favorite your tweets. ... cause I know I do! 
1,So the Falcon Lover comments on pewdiepie 's videos... What even? #confused #whateven #beautifulstory  #lovingit
1,Do you know what is super fun? Federal tax accounting for individuals.  #onemoreweek
1,Manaus today: 27 degrees and 79 percent humidity at 18:00. Houston 27 degrees and 81 percent humidity at 23:30. #Inhumane  #ENGvsITA
1,My family is just a big bundle of joy tonight. 
1,meowzermix good one!! Mama said my lack of sympathy was mean-spirited and not typical of me. I don't think she really knows me!!! 
1,Just kidding. I have other friends.  haha. :)
1,Espn thanks for all the golf during #worldcuptonight #FifaWorldCup #1N1T #somuchgolf 
1,IYAOYASjose goooood GAWD u fine....&amp; so iz VelVelHoller 
1,So netflix is useful if you want to watch older movies. #useful 
1,younngnatnat I'm so excited... 
1,Glad to see how missed my presence is!!! 
1,"Yeah, you got a real lovely personality, girlfriend. #Toonami #BLEACH "
1,Lol! That's cute! 
1,What a great night! 
1,3-1 rangers lead oh right mariners offense are great! at Safeco 
1,LanceRedLion #ooc I almost bought these for Geekmaster as a joke. Can u believe these are on clearance? 
1,I love my life 
1,God I just love when my time and money it's wasted  #fuckyou
1,I just love tornadoes!! 
1,".mayerstein18 jacobkornbluh oh and keeping Palestinians under military occupation, confiscating more land is real just. "
1,"teeterpyg redfivetwo I mean we should just be grateful for what we have, right? "
1,Nothing beats chilling in a hotel room by yourself 
1,Don't you just love it when people lie and plans don't become more than just plans? 
1,Another great night spent at home 
1,"Well, next years marching band season should be fun.. Hahaha :p "
1,Today was sooooo fun 
1,Save water by showering together.. oooo so sexy 
1,PatDoneyNBC5 Braves Rangers game over i guess cj gonna win it 
1,"Update~ cuz my life is just soo important to my 0 followers.  I made an Instagram, check my bio, and I really fucking hate my mom"
1,MOTHERFUCKER!! Why didn't ANYONE tell me Scott Stapp was performing TONIGHT in Wilmington?? #YouAreAllDeadToMe #srsly ?
1,ZaydDogg jonuhflex RPhouthavanh I used it as a rhetoric statement bud ?
1,vikesfanIV wow u are all the way up to 38 followers? How do u do it? 
1,"Thanks #foxsports2 for not being in HD on #optimum ,great footage of #LeMans24Hrs "
1,You're so artistic with your sideways photo and pouting face 
